"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","initBaseSteps","initBaseSteps",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","checkConsoleErrors","checkConsoleErrors",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","getDataForTests","getDataForTests",""
"skipped","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_001","User can see all available books in the Book Store",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore","deleteTestBookFromCollectionAndReopenBookStore",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors","checkConsoleErrors",""
"passed","Mon Mar 27 06:15:57 GMT 2023","Mon Mar 27 06:15:58 GMT 2023","1066","Surefire suite","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001","User is able to delete a book from his collection by DELETE /Book api",""
"skipped","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_002","User can open and view book's details in the Book Store",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","1","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","initBaseSteps","initBaseSteps",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests","loginAndGetDataForTests",""
"broken","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage","reopenBookStorePage",""
"skipped","Mon Mar 27 06:16:03 GMT 2023","Mon Mar 27 06:16:03 GMT 2023","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003","User is able to add a book into his collection from Book Store",""
