"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 15 06:15:40 GMT 2024","Mon Apr 15 06:15:41 GMT 2024","801","Surefire suite","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001","User is able to delete a book from his collection by DELETE /Book api",""
"broken","Mon Apr 15 06:24:22 GMT 2024","Mon Apr 15 06:24:22 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","checkConsoleErrors","checkConsoleErrors",""
"broken","Mon Apr 15 06:22:22 GMT 2024","Mon Apr 15 06:22:22 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","initBaseSteps","initBaseSteps",""
"skipped","Mon Apr 15 06:25:22 GMT 2024","Mon Apr 15 06:25:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_002","User can open and view book's details in the Book Store",""
"broken","Mon Apr 15 06:23:22 GMT 2024","Mon Apr 15 06:23:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests","loginAndGetDataForTests",""
"broken","Mon Apr 15 06:25:22 GMT 2024","Mon Apr 15 06:25:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage","reopenBookStorePage",""
"broken","Mon Apr 15 06:24:22 GMT 2024","Mon Apr 15 06:24:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore","deleteTestBookFromCollectionAndReopenBookStore",""
"skipped","Mon Apr 15 06:24:22 GMT 2024","Mon Apr 15 06:24:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003","User is able to add a book into his collection from Book Store",""
"broken","Mon Apr 15 06:23:22 GMT 2024","Mon Apr 15 06:23:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","getDataForTests","getDataForTests",""
"broken","Mon Apr 15 06:22:22 GMT 2024","Mon Apr 15 06:22:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","initBaseSteps","initBaseSteps",""
"broken","Mon Apr 15 06:25:22 GMT 2024","Mon Apr 15 06:25:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors","checkConsoleErrors",""
"skipped","Mon Apr 15 06:24:22 GMT 2024","Mon Apr 15 06:24:22 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_001","User can see all available books in the Book Store",""
