"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors","checkConsoleErrors",""
"broken","Mon Mar 18 06:15:16 GMT 2024","Mon Mar 18 06:15:16 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","initBaseSteps","initBaseSteps",""
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","checkConsoleErrors","checkConsoleErrors",""
"skipped","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003","User is able to add a book into his collection from Book Store",""
"skipped","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_001","User can see all available books in the Book Store",""
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests","loginAndGetDataForTests",""
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","getDataForTests","getDataForTests",""
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore","deleteTestBookFromCollectionAndReopenBookStore",""
"skipped","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_002","User can open and view book's details in the Book Store",""
"broken","Mon Mar 18 06:15:16 GMT 2024","Mon Mar 18 06:15:16 GMT 2024","5","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","initBaseSteps","initBaseSteps",""
"broken","Mon Mar 18 06:15:17 GMT 2024","Mon Mar 18 06:15:17 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage","reopenBookStorePage",""
"passed","Mon Mar 18 06:15:18 GMT 2024","Mon Mar 18 06:15:19 GMT 2024","897","Surefire suite","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001","User is able to delete a book from his collection by DELETE /Book api",""
