"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","demo_003","User is able to add a book into his collection from Book Store",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","deleteTestBookFromCollectionAndReopenBookStore","deleteTestBookFromCollectionAndReopenBookStore",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","initBaseSteps","initBaseSteps",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","checkConsoleErrors","checkConsoleErrors",""
"skipped","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_001","User can see all available books in the Book Store",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","checkConsoleErrors","checkConsoleErrors",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","loginAndGetDataForTests","loginAndGetDataForTests",""
"skipped","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","demo_002","User can open and view book's details in the Book Store",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","1","Surefire suite","Surefire test","sample.automation.tests.ui.AddBookIntoCollectionTest","sample.automation.tests.ui.AddBookIntoCollectionTest","initBaseSteps","initBaseSteps",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","getDataForTests","getDataForTests",""
"broken","Mon Feb 26 06:15:52 GMT 2024","Mon Feb 26 06:15:52 GMT 2024","0","Surefire suite","Surefire test","sample.automation.tests.ui.ViewBooksTest","sample.automation.tests.ui.ViewBooksTest","reopenBookStorePage","reopenBookStorePage",""
"passed","Mon Feb 26 06:15:33 GMT 2024","Mon Feb 26 06:15:34 GMT 2024","813","Surefire suite","Surefire test","sample.automation.tests.api.ApiDeleteBooksTest","sample.automation.tests.api.ApiDeleteBooksTest","demo_api_001","User is able to delete a book from his collection by DELETE /Book api",""
